 - (coverage + avg_steps,) Without sense_wall_2_right
1.59,4.43,0.99,63.05,89,11.44,0.89,
7.11,15.85,5.21,47.75,79,10.48,14.58,
6.93,14.64,5.18,54.11,83,10.32,14.52,
7.71,15.85,4.98,62.85,87,11.3,14.62,
1.39,2.91277777778,0.86,53.3,87,11.24,0.63,
1.43,3.66916666667,0.91,62.88,85,10.13,0.93,
1.65,3.91527777778,0.86,76.27,107,12.35,0.77,
1.51,2.92666666667,0.82,63.79,103,14.28,0.53,
5.68,13.0461111111,4.48,59.87,89,9.94,11.32,
1.48,3.36583333333,0.86,68.93,97,13.56,0.46,
1.43,2.65194444444,0.81,53.5,93,14.16,0.44,
2.08,3.38861111111,1.18,50.4,83,12.66,1.16,
3.29,20.8411111111,3.47,50.8,75,8.49,6.08,
7.17,15.25,5.27,58.5,91,13.05,14.67,
1.42,3.20138888889,0.87,54.8,73,8.38,0.67,
1.32,2.835,0.87,51.95,81,10.01,0.46,
6.28,16.29,5.25,44.31,73,10.46,14.29,
2.15,3.60555555556,1.2,54.3,85,11.86,1.39,
1.93,3.19055555556,1.12,48.14,79,11.78,1.14,
7.72,16.29,4.96,85.59,121,15.5,14.39,
1.65,4.14861111111,0.97,56.34,89,10.14,0.93,
1.76,2.71083333333,1.04,68.34,109,14.85,0.91,
1.95,3.26972222222,1.15,75.35,115,13.09,1.06,
1.6,3.16194444444,0.72,75.83,111,15.37,0.66,
29.91,56.85,23.02,72.55,101,10.57,131.67,
2.18,3.47555555556,1.25,65.75,99,14.41,1.17,
7.18,15.85,5.06,59.65,75,6.84,14.66,
1.47,4.17861111111,1.03,62.36,91,10.71,0.88,
6.38,14.75,5.23,45.51,77,9.0,14.65,
7.33,15.85,5.15,67.12,99,12.84,14.64,
1.39,2.98666666667,0.87,55.09,101,15.12,0.63,
4.64,13.0961111111,4.4,56.74,77,8.32,10.56,
2.08,10.0061111111,1.21,47.03,69,10.01,10.37,
2.05,3.42861111111,1.21,41.59,63,8.67,1.25,
1.92,3.17055555556,1.1,58.57,89,10.45,1.07,
1.5,4.29083333333,0.98,57.32,85,9.63,0.8,
1.6,3.20055555556,0.95,52.34,93,11.58,1.11,
2.08,4.35638888889,1.26,71.15,99,12.62,1.19,
6.51,14.64,5.35,44.18,71,7.74,14.52,
1.97,4.38638888889,1.35,63.92,95,12.93,1.0,
