1.05,2,0.6,
1.05,3,14.76,
1.05,4,14.72,
1.05,5,14.6,
1.05,6,61.96,
1.05,2,1.32,
1.05,3,9.52,
1.05,4,9.52,
1.05,5,11.6,
1.05,6,54.16,
1.05,2,4.08,
1.1,2,0.92,
1.1,3,4.24,
1.1,4,6.72,
1.1,5,9.36,
1.1,6,9.12,
1.15,2,3.96,
1.15,3,6.84,
1.15,4,11.92,
1.15,5,35.52,
1.15,6,12.08,
1.2,2,1.16,
1.2,3,6.64,
1.2,4,14.6,
1.2,5,36.0,
1.2,6,59.32,
1.25,2,1.32,
1.25,3,27.68,
1.25,4,6.84,
1.25,5,11.84,
1.25,6,15.04,
1.3,2,0.64,
1.3,3,6.8,
1.3,4,4.52,
1.3,5,15.04,
1.3,6,9.24,
1.35,2,0.16,
1.35,3,4.08,
1.35,4,30.48,
1.35,5,12.2,
1.35,6,35.68,
1.4,2,0.12,
1.4,3,1.6,
1.4,4,56.84,
1.4,5,30.52,
1.4,6,35.68,
1.45,2,0.12,
1.45,3,0.84,
1.45,4,9.36,
1.45,5,9.24,
1.45,6,9.52,
1.5,2,0.12,
