776.86629796,
1315.37849712,
590.576937914,
1641.39139295,
1049.90030694,
416.568437099,
455.456338167,
2033.95996904,
1550.57327914,
1326.27617788,
312.945295811,
167.383222103,
2968.35152197,
728.814835072,
6797.79927492,
520.15750885,
831.826998949,
817.995758057,
198.925678968,
335.758187056,
351.734106064,
157.291147947,
316.957380056,
803.887410879,
