20.32,51.9930555556,7.52,123.02,159,18.19,8.0,
4.55,6.98611111111,0.86,92.91,145,18.99,1.0,
10.22,61.9444444444,13.47,52.36,77,11.08,8.0,
0.39,0.541666666667,0.21,69.88,101,15.98,0.0,
0.61,0.756944444444,0.25,65.98,115,21.37,2.0,
0.59,0.736111111111,0.26,74.32,121,15.71,2.0,
0.72,0.875,0.28,76.94,105,11.47,1.0,
0.67,0.798611111111,0.25,109.71,169,25.21,4.0,
0.59,0.708333333333,0.24,64.89,101,18.76,6.0,
0.32,0.381944444444,0.11,62.8,99,21.57,1.0,
0.75,0.993055555556,0.37,58.57,87,12.47,12.0,
0.31,0.5,0.19,41.68,63,8.06,0.0,
0.6,0.9375,0.39,45.98,67,9.91,2.0,
0.65,0.916666666667,0.38,31.08,57,8.87,3.0,
0.7,0.986111111111,0.38,39.9,55,7.62,5.0,
0.71,0.951388888889,0.33,42.49,61,8.29,2.0,
0.67,0.9375,0.34,31.21,43,4.86,2.0,
-6.71,-1.0,3.95,8.0,25,4.2,0.0,
-6.93,-1.0,4.08,6.35,19,3.08,0.0,
3.33,10.9930555556,3.17,30.61,41,4.62,3.0,
2.07,7.90972222222,1.95,26.58,41,5.91,1.0,
40.07,146.909722222,43.68,72.62,133,17.9,19.0,
4.48,11.9930555556,3.04,67.75,111,16.28,3.0,
0.52,0.743055555556,0.3,31.87,47,5.47,0.0,
0.69,0.944444444444,0.38,31.22,45,4.7,2.0,
0.75,0.930555555556,0.32,37.52,53,6.57,4.0,
0.66,0.930555555556,0.38,27.44,43,4.56,2.0,
0.23,0.333333333333,0.13,27.24,49,6.38,0.0,
0.85,0.9375,0.22,22.71,35,3.39,4.0,
0.5,0.923611111111,0.41,33.22,47,6.3,3.0,
0.66,0.951388888889,0.39,78.67,115,14.4,1.0,
0.67,0.923611111111,0.34,51.74,79,10.5,0.0,
0.74,5.99305555556,0.65,66.16,107,15.15,1.0,
0.69,23.9930555556,0.83,60.14,87,10.65,12.0,
0.57,0.854166666667,0.32,62.49,91,12.57,4.0,
6.22,59.9930555556,14.01,85.96,155,21.2,23.0,
0.48,0.979166666667,0.29,106.47,157,20.28,1.0,
3.97,21.9930555556,5.66,61.69,101,13.14,5.0,
