,
0.25,7.0,0.55,27.82,39,5.51,
0.26,7.0,0.6,28.46,39,4.42,
0.29,0.8125,0.37,28.4,43,5.32,
98.26,240.0,112.26,25.09,37,5.09,
0.18,0.458333333333,0.46,20.63,33,5.26,
0.68,0.986111111111,0.5,30.78,47,6.67,
0.36,0.548611111111,0.33,32.68,45,4.82,
0.68,0.986111111111,0.46,29.45,41,5.88,
0.88,7.93055555556,1.93,32.18,47,5.62,
0.66,7.58333333333,1.59,29.07,41,4.57,
7.73,29.0,11.2,22.16,41,5.56,
0.36,0.597222222222,0.4,29.85,41,4.54,
0.64,0.986111111111,0.51,25.06,41,5.64,
135.07,240.0,114.33,28.44,43,5.5,
0.19,0.486111111111,0.48,20.41,41,5.1,
136.8,240.666666667,114.43,36.64,49,6.1,
0.22,0.527777777778,0.46,30.51,43,5.27,
0.56,6.31944444444,0.57,29.1,41,4.35,
0.27,0.833333333333,0.43,26.51,41,5.59,
0.26,0.444444444444,0.35,27.8,43,5.65,
0.29,0.548611111111,0.32,25.77,41,5.87,
0.7,6.19444444444,0.51,33.36,49,4.89,
0.72,0.986111111111,0.44,31.91,51,6.32,
