55.5822410583,
157.161736012,
323.90062809,
111.817585945,
157.407940149,
102.816046,
115.39397788,
111.413985968,
192.957712173,
109.045604944,
219.466076851,
88.8912780285,
235.779442787,
104.906262159,
144.215728998,
118.507759094,
116.215368986,
133.048468113,
112.076236963,
98.2477419376,
